ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2020-02-06,3792.1276699926143,3725.969103055617,4259.555982635722,3792.1276699926143,3792.1276699926143,196.8807255594904,196.8807255594904,196.8807255594904,17.028642249971124,17.028642249971124,17.028642249971124,179.85208330951926,179.85208330951926,179.85208330951926,0.0,0.0,0.0,3989.0083955521045
2020-02-07,3782.390365891814,3728.5597183102745,4268.634844741964,3782.390365891814,3782.390365891814,208.27140088250624,208.27140088250624,208.27140088250624,23.313646322570108,23.313646322570108,23.313646322570108,184.95775455993615,184.95775455993615,184.95775455993615,0.0,0.0,0.0,3990.6617667743203
2020-02-10,3753.178453589412,3708.3207892475,4234.845680852032,3753.178453589412,3753.178453589412,216.95494282568737,216.95494282568737,216.95494282568737,16.40923405058095,16.40923405058095,16.40923405058095,200.54570877510642,200.54570877510642,200.54570877510642,0.0,0.0,0.0,3970.1333964150995
2020-02-11,3743.441149488609,3690.973700889591,4226.9870266637645,3743.441149488609,3743.441149488609,221.33622954227053,221.33622954227053,221.33622954227053,15.720535395985044,15.720535395985044,15.720535395985044,205.6156941462855,205.6156941462855,205.6156941462855,0.0,0.0,0.0,3964.7773790308793
2020-02-12,3733.7038453878085,3699.3491459024535,4247.311637925495,3733.7038453878085,3733.7038453878085,228.1717015010622,228.1717015010622,228.1717015010622,17.660858379863324,17.660858379863324,17.660858379863324,210.51084312119886,210.51084312119886,210.51084312119886,0.0,0.0,0.0,3961.8755468888708
2020-02-13,3723.9665412870054,3675.2340534148793,4237.966042135461,3723.9665412870054,3723.9665412870054,232.19373856324242,232.19373856324242,232.19373856324242,17.02864224996993,17.02864224996993,17.02864224996993,215.16509631327253,215.16509631327253,215.16509631327253,0.0,0.0,0.0,3956.1602798502477
2020-02-14,3714.229237186205,3695.4139269939274,4229.381564192054,3714.229237186205,3714.229237186205,242.82883854259032,242.82883854259032,242.82883854259032,23.3136463225259,23.3136463225259,23.3136463225259,219.51519222006442,219.51519222006442,219.51519222006442,0.0,0.0,0.0,3957.0580757287953
2020-02-17,3685.017324883801,3683.0990243905644,4191.031000280866,3685.017324883801,3685.017324883801,246.5873037458294,246.5873037458294,246.5873037458294,16.409234050628523,16.409234050628523,16.409234050628523,230.1780696952009,230.1780696952009,230.1780696952009,0.0,0.0,0.0,3931.6046286296305
2020-02-18,3675.2800207830005,3661.421272050101,4193.672055562969,3675.2800207830005,3675.2800207830005,248.50098940115313,248.50098940115313,248.50098940115313,15.720535396002324,15.720535396002324,15.720535396002324,232.78045400515083,232.78045400515083,232.78045400515083,0.0,0.0,0.0,3923.7810101841537
2020-02-19,3665.5427166821996,3654.9348064934743,4195.497171836421,3665.5427166821996,3665.5427166821996,252.50852820094894,252.50852820094894,252.50852820094894,17.660858379876462,17.660858379876462,17.660858379876462,234.8476698210725,234.8476698210725,234.8476698210725,0.0,0.0,0.0,3918.0512448831487
2020-02-20,3655.8054125813965,3639.228572524689,4169.719949539568,3655.8054125813965,3655.8054125813965,253.3854397965422,253.3854397965422,253.3854397965422,17.02864225003083,17.02864225003083,17.02864225003083,236.35679754651136,236.35679754651136,236.35679754651136,0.0,0.0,0.0,3909.1908523779384
2020-02-21,3646.0681084805988,3640.0922164281055,4143.69064806134,3646.0681084805988,3646.0681084805988,260.6074269636259,260.6074269636259,260.6074269636259,23.3136463224817,23.3136463224817,23.3136463224817,237.29378064114422,237.29378064114422,237.29378064114422,0.0,0.0,0.0,3906.675535444225
2020-02-24,3616.856196178192,3596.756210297838,4144.324000226998,3616.856196178192,3616.856196178192,253.07252265378918,253.07252265378918,253.07252265378918,16.409234050616234,16.409234050616234,16.409234050616234,236.66328860317293,236.66328860317293,236.66328860317293,0.0,0.0,0.0,3869.9287188319813
2020-02-25,3607.1188920773916,3599.443650051445,4125.792792600009,3607.1188920773916,3607.1188920773916,251.06538127957586,251.06538127957586,251.06538127957586,15.720535395980813,15.720535395980813,15.720535395980813,235.34484588359507,235.34484588359507,235.34484588359507,0.0,0.0,0.0,3858.1842733569674
2020-02-26,3597.3815879765884,3593.6548235928663,4114.813063528689,3597.3815879765884,3597.3815879765884,251.17141354871933,251.17141354871933,251.17141354871933,17.660858379869524,17.660858379869524,17.660858379869524,233.51055516884978,233.51055516884978,233.51055516884978,0.0,0.0,0.0,3848.553001525308
2020-02-27,3587.644283875788,3578.6973483372435,4106.572412043136,3587.644283875788,3587.644283875788,248.22170791531764,248.22170791531764,248.22170791531764,17.02864224994817,17.02864224994817,17.02864224994817,231.1930656653695,231.1930656653695,231.1930656653695,0.0,0.0,0.0,3835.8659917911054
2020-02-28,3577.906979774985,3570.635624958609,4105.309626688752,3577.906979774985,3577.906979774985,251.74380733682892,251.74380733682892,251.74380733682892,23.313646322437496,23.313646322437496,23.313646322437496,228.43016101439144,228.43016101439144,228.43016101439144,0.0,0.0,0.0,3829.6507871118138
2020-03-02,3548.695067472583,3501.2860619518974,4071.9766060068278,3548.695067472583,3548.695067472583,234.31093812588483,234.31093812588483,234.31093812588483,16.40923405072367,16.40923405072367,16.40923405072367,217.90170407516118,217.90170407516118,217.90170407516118,0.0,0.0,0.0,3783.0060055984677
2020-03-03,3538.9577633717827,3508.7183809374847,4034.9661530293383,3538.9577633717827,3538.9577633717827,229.52121821268935,229.52121821268935,229.52121821268935,15.720535395959304,15.720535395959304,15.720535395959304,213.80068281673002,213.80068281673002,213.80068281673002,0.0,0.0,0.0,3768.478981584472
2020-03-04,3529.2204592709795,3481.1474508721835,4051.9440747760154,3529.2204592709795,3529.2204592709795,227.14404518597325,227.14404518597325,227.14404518597325,17.660858379868138,17.660858379868138,17.660858379868138,209.4831868061051,209.4831868061051,209.4831868061051,0.0,0.0,0.0,3756.364504456953
2020-03-05,3519.483155170179,3482.1113858518834,4013.865673468458,3519.483155170179,3519.483155170179,222.02450293804822,222.02450293804822,222.02450293804822,17.02864224996767,17.02864224996767,17.02864224996767,204.99586068808054,204.99586068808054,204.99586068808054,0.0,0.0,0.0,3741.507658108227
2020-03-06,3509.745851069376,3456.731506868121,3997.4106689492414,3509.745851069376,3509.745851069376,223.69722937899522,223.69722937899522,223.69722937899522,23.313646322440622,23.313646322440622,23.313646322440622,200.38358305655458,200.38358305655458,200.38358305655458,0.0,0.0,0.0,3733.4430804483713
2020-03-09,3480.533938766974,3419.437969806552,3944.0241027057896,3480.533938766974,3480.533938766974,202.61587784057613,202.61587784057613,202.61587784057613,16.409234050524418,16.409234050524418,16.409234050524418,186.2066437900517,186.2066437900517,186.2066437900517,0.0,0.0,0.0,3683.1498166075503
2020-03-10,3470.796634666171,3397.5946722248796,3912.325880766522,3470.796634666171,3470.796634666171,197.20876577360016,197.20876577360016,197.20876577360016,15.720535395937796,15.720535395937796,15.720535395937796,181.48823037766238,181.48823037766238,181.48823037766238,0.0,0.0,0.0,3668.005400439771
2020-03-11,3461.0593305653706,3387.7943107864244,3935.648406170123,3461.0593305653706,3461.0593305653706,194.4858867153007,194.4858867153007,194.4858867153007,17.660858379861196,17.660858379861196,17.660858379861196,176.82502833543953,176.82502833543953,176.82502833543953,0.0,0.0,0.0,3655.5452172806713
2020-03-12,3451.3220264645724,3369.4639352625504,3893.7624755400275,3451.3220264645724,3451.3220264645724,189.27137118690547,189.27137118690547,189.27137118690547,17.02864224996648,17.02864224996648,17.02864224996648,172.24272893693896,172.24272893693896,172.24272893693896,0.0,0.0,0.0,3640.593397651478
2020-03-13,3441.584722363767,3365.938683566911,3904.9851887414316,3441.584722363767,3441.584722363767,191.0773728850427,191.0773728850427,191.0773728850427,23.31364632234908,23.31364632234908,23.31364632234908,167.76372656269368,167.76372656269368,167.76372656269368,0.0,0.0,0.0,3632.6620952488097
2020-03-16,3412.3728100613653,3309.7585846384554,3849.9554166161915,3412.3728100613653,3412.3728100613653,171.53697742418686,171.53697742418686,171.53697742418686,16.40923405057199,16.40923405057199,16.40923405057199,155.1277433736149,155.1277433736149,155.1277433736149,0.0,0.0,0.0,3583.909787485552
2020-03-17,3402.635505960562,3269.1065908893406,3838.15449541682,3402.635505960562,3402.635505960562,166.9523300124526,166.9523300124526,166.9523300124526,15.72053539595508,15.72053539595508,15.72053539595508,151.2317946164975,151.2317946164975,151.2317946164975,0.0,0.0,0.0,3569.5878359730145
2020-03-18,3392.8982018597617,3300.161799858214,3830.9730530890174,3392.8982018597617,3392.8982018597617,165.17513157926209,165.17513157926209,165.17513157926209,17.660858379874337,17.660858379874337,17.660858379874337,147.51427319938773,147.51427319938773,147.51427319938773,0.0,0.0,0.0,3558.073333439024
2020-03-19,3383.1608977589585,3260.0153219199224,3818.545200328035,3383.1608977589585,3383.1608977589585,161.0145280781308,161.0145280781308,161.0145280781308,17.028642249965284,17.028642249965284,17.028642249965284,143.98588582816555,143.98588582816555,143.98588582816555,0.0,0.0,0.0,3544.1754258370893
2020-03-20,3373.423593658161,3250.15612882999,3817.5952822865693,3373.423593658161,3373.423593658161,163.97051118947462,163.97051118947462,163.97051118947462,23.31364632253633,23.31364632253633,23.31364632253633,140.6568648669383,140.6568648669383,140.6568648669383,0.0,0.0,0.0,3537.3941048476354
2020-03-23,3344.2116813557564,3236.5035849502824,3754.7553538519974,3344.2116813557564,3344.2116813557564,148.3760290561682,148.3760290561682,148.3760290561682,16.409234050559707,16.409234050559707,16.409234050559707,131.96679500560847,131.96679500560847,131.96679500560847,0.0,0.0,0.0,3492.5877104119245
2020-03-24,3334.4743772549537,3191.8952292912177,3756.0766895713896,3334.4743772549537,3334.4743772549537,145.25693761328964,145.25693761328964,145.25693761328964,15.720535395894768,15.720535395894768,15.720535395894768,129.53640221739488,129.53640221739488,129.53640221739488,0.0,0.0,0.0,3479.7313148682433
2020-03-26,3314.9997690533496,3192.432997447656,3710.4052316291036,3314.9997690533496,3314.9997690533496,142.46465378715862,142.46465378715862,142.46465378715862,17.028642250005486,17.028642250005486,17.028642250005486,125.43601153715314,125.43601153715314,125.43601153715314,0.0,0.0,0.0,3457.464422840508
2020-03-27,3305.262464952552,3201.217430401306,3711.423252578535,3305.262464952552,3305.262464952552,147.09852028761142,147.09852028761142,147.09852028761142,23.313646322492122,23.313646322492122,23.313646322492122,123.7848739651193,123.7848739651193,123.7848739651193,0.0,0.0,0.0,3452.3609852401632
2020-03-30,3276.050552650145,3133.6828715859283,3687.960614080676,3276.050552650145,3276.050552650145,136.92176547457822,136.92176547457822,136.92176547457822,16.409234050547422,16.409234050547422,16.409234050547422,120.51253142403078,120.51253142403078,120.51253142403078,0.0,0.0,0.0,3412.972318124723
2020-03-31,3266.3132485493447,3142.7583536022075,3673.1017718767944,3266.3132485493447,3266.3132485493447,135.7123758779946,135.7123758779946,135.7123758779946,15.720535395981884,15.720535395981884,15.720535395981884,119.99184048201272,119.99184048201272,119.99184048201272,0.0,0.0,0.0,3402.025624427339
